Complaint,Department
Power outage in classroom in Lab 2.,Electrical
System is running very slow in Block A.,CSE
Plumbing problem in Admin Block.,Maintenance
Printer not working in Block A.,CSE
Hostel room needs cleaning in Second Floor.,Hostel
Breadboard is damaged in Admin Block.,ECE
Light is flickering in Lab 1.,Electrical
Bus pass issue in Block B.,Others
ID card not issued in Lab 2.,Others
Staircase is dusty in Admin Block.,Cleaning
Tube light not working in Lab 1.,Electrical
Dustbins are overflowing in Admin Block.,Cleaning
Campus area is dirty in First Floor.,Cleaning
Library AC not working in Lab 1.,Library
Hostel room needs cleaning in Room 101.,Hostel
Bonafide certificate delayed in Room 101.,Others
Monitor display is blank in Lab 1.,CSE
Scholarship not received in Lab 2.,Others
Water leaking from ceiling in Room 204.,Maintenance
Website login problem in Admin Block.,Others
Microcontroller kit not working in Block A.,ECE
Fan not working in hostel room in Lab 1.,Hostel
Bad smell in corridor in Second Floor.,Cleaning
Keyboard not working in Lab 1.,CSE
Hostel room needs cleaning in Room 101.,Hostel
Mouse is not responding in Room 204.,CSE
Bathroom is dirty in Lab 2.,Hostel
Book issue system not working in Block A.,Library
Computer not starting in Room 204.,CSE
Book return portal not working in Block A.,Library
Garbage not collected in Second Floor.,Cleaning
Library AC not working in Block B.,Library
Mess food quality is poor in Second Floor.,Hostel
Campus area is dirty in Admin Block.,Cleaning
Washroom needs cleaning in First Floor.,Cleaning
Dustbins are overflowing in Block B.,Cleaning
Mess food quality is poor in Block A.,Hostel
Light is flickering in Admin Block.,Electrical
Dustbins are overflowing in Lab 2.,Cleaning
Window glass is broken in First Floor.,Maintenance
Garbage not collected in Lab 1.,Cleaning
Monitor display is blank in Room 101.,CSE
Bad smell in corridor in Lab 1.,Cleaning
Fan not working in hostel room in Room 204.,Hostel
Library AC not working in Room 204.,Library
Staircase is dusty in Admin Block.,Cleaning
Reading room is noisy in Lab 2.,Library
Classroom is very dirty in Block A.,Cleaning
Light is flickering in Admin Block.,Electrical
Reading room is noisy in Lab 1.,Library
Insufficient seating in library in Admin Block.,Library
Printer not working in Admin Block.,CSE
Library computer not working in Lab 2.,Library
Insufficient seating in library in Block B.,Library
Reading room is noisy in Block B.,Library
Switch board is damaged in Block A.,Electrical
Required book is unavailable in Second Floor.,Library
Mess food quality is poor in Lab 1.,Hostel
Bad smell in corridor in Block B.,Cleaning
Room lock is broken in Room 101.,Hostel
Insufficient seating in library in First Floor.,Library
Oscilloscope not working in Block B.,ECE
No water supply in hostel in Admin Block.,Hostel
Internet not working in lab in Block B.,CSE
ID card not issued in Room 101.,Others
Signal generator issue in Block A.,ECE
Signal generator issue in Lab 1.,ECE
Window glass is broken in First Floor.,Maintenance
Website login problem in First Floor.,Others
Internet not working in lab in Admin Block.,CSE
Computer not starting in First Floor.,CSE
Microcontroller kit not working in Room 204.,ECE
Book return portal not working in Room 204.,Library
Water leaking from ceiling in Room 204.,Maintenance
Arduino board not detected in Block A.,ECE
Door lock is broken in First Floor.,Maintenance
Plumbing problem in First Floor.,Maintenance
Power socket not working in Admin Block.,Electrical
Bonafide certificate delayed in Admin Block.,Others
Digital trainer board failed in Lab 2.,ECE
Reading room is noisy in Admin Block.,Library
Bus pass issue in Room 101.,Others
Power socket not working in Block B.,Electrical
Library computer not working in First Floor.,Library
Hostel room needs cleaning in Block A.,Hostel
Lab equipment is faulty in Admin Block.,ECE
Fan is not working in Lab 1.,Electrical
Mess food quality is poor in Admin Block.,Hostel
Monitor display is blank in Room 204.,CSE
Drinking water cooler not working in Lab 2.,Hostel
System is running very slow in Block B.,CSE
Roof seepage issue in Room 101.,Maintenance
Loose electrical wiring in Room 204.,Electrical
Wall has cracks in First Floor.,Maintenance
Fan is not working in Block A.,Electrical
Digital trainer board failed in Lab 2.,ECE
Water leaking from ceiling in Lab 2.,Maintenance
Roof seepage issue in Second Floor.,Maintenance
Bonafide certificate delayed in Room 101.,Others
Campus area is dirty in Lab 2.,Cleaning
Bonafide certificate delayed in First Floor.,Others
Light is flickering in Room 204.,Electrical
Breadboard is damaged in Lab 2.,ECE
Library AC not working in Lab 1.,Library
Light is flickering in Room 204.,Electrical
Computer not starting in Room 204.,CSE
Classroom is very dirty in Block A.,Cleaning
Garbage not collected in First Floor.,Cleaning
Door lock is broken in Room 204.,Maintenance
Library internet not working in Admin Block.,Library
Broken classroom bench in Lab 2.,Maintenance
Fan not working in hostel room in Room 204.,Hostel
Plumbing problem in Room 204.,Maintenance
Website login problem in First Floor.,Others
Mess food quality is poor in Room 101.,Hostel
Power outage in classroom in Admin Block.,Electrical
Breadboard is damaged in Lab 2.,ECE
Door lock is broken in Block A.,Maintenance
Fee payment portal not working in First Floor.,Others
Fee payment portal not working in First Floor.,Others
Monitor display is blank in Room 101.,CSE
Arduino board not detected in Block A.,ECE
Scholarship not received in Room 101.,Others
Hostel room needs cleaning in Lab 2.,Hostel
Power socket not working in Lab 1.,Electrical
Library internet not working in Lab 1.,Library
Room lock is broken in Admin Block.,Hostel
Broken classroom bench in Block B.,Maintenance
Door lock is broken in Second Floor.,Maintenance
Website login problem in Admin Block.,Others
Staircase is dusty in Block B.,Cleaning
Hall ticket not generated in First Floor.,Others
Scholarship not received in Lab 2.,Others
Power outage in classroom in Second Floor.,Electrical
Library AC not working in Block A.,Library
Library AC not working in Block B.,Library
Oscilloscope not working in Second Floor.,ECE
Breadboard is damaged in Room 101.,ECE
Floor needs mopping in Room 101.,Cleaning
Floor needs mopping in Room 101.,Cleaning
Internet not working in lab in Lab 2.,CSE
Loose electrical wiring in Block B.,Electrical
Hostel WiFi not working in Block B.,Hostel
Library internet not working in Block B.,Library
Power outage in classroom in Lab 1.,Electrical
Campus area is dirty in Lab 1.,Cleaning
Breadboard is damaged in First Floor.,ECE
Room lock is broken in Room 204.,Hostel
Internet not working in lab in Block B.,CSE
Digital trainer board failed in Room 204.,ECE
Window glass is broken in Room 204.,Maintenance
Website login problem in Block B.,Others
Signal generator issue in Lab 2.,ECE
Light is flickering in Block B.,Electrical
Oscilloscope not working in Lab 1.,ECE
Fee payment portal not working in Lab 1.,Others
Washroom needs cleaning in Block A.,Cleaning
Keyboard not working in Room 204.,CSE
Monitor display is blank in Lab 1.,CSE
Oscilloscope not working in Room 101.,ECE
Book return portal not working in Lab 2.,Library
Roof seepage issue in Block B.,Maintenance
Function generator faulty in Second Floor.,ECE
ID card not issued in Room 101.,Others
Insufficient seating in library in Room 204.,Library
Internet not working in lab in Lab 1.,CSE
Room lock is broken in Block A.,Hostel
Dustbins are overflowing in Room 204.,Cleaning
Drinking water cooler not working in Admin Block.,Hostel
ID card not issued in Block A.,Others
Campus area is dirty in Lab 1.,Cleaning
Switch board is damaged in Admin Block.,Electrical
Arduino board not detected in Room 101.,ECE
ID card not issued in First Floor.,Others
Oscilloscope not working in Second Floor.,ECE
Campus area is dirty in Block A.,Cleaning
Staircase is dusty in Room 204.,Cleaning
Hostel WiFi not working in Block B.,Hostel
Hostel WiFi not working in Lab 1.,Hostel
Internet not working in lab in Room 204.,CSE
Wall has cracks in Block A.,Maintenance
Signal generator issue in Lab 1.,ECE
Printer not working in Block B.,CSE
Classroom is very dirty in Block A.,Cleaning
Loose electrical wiring in First Floor.,Electrical
Staircase is dusty in Admin Block.,Cleaning
Library computer not working in Block A.,Library
Microcontroller kit not working in Lab 2.,ECE
Fan is not working in Lab 2.,Electrical
Washroom needs cleaning in Admin Block.,Cleaning
Bathroom is dirty in Second Floor.,Hostel
Drinking water cooler not working in Admin Block.,Hostel
Internet not working in lab in Admin Block.,CSE
Campus area is dirty in Lab 1.,Cleaning
Drinking water cooler not working in Room 101.,Hostel
Hostel WiFi not working in Room 101.,Hostel
Hostel room needs cleaning in Lab 2.,Hostel
Mess food quality is poor in Block A.,Hostel
Roof seepage issue in Second Floor.,Maintenance
Washroom needs cleaning in Room 101.,Cleaning
Fan not working in hostel room in Second Floor.,Hostel
Book return portal not working in First Floor.,Library
System is running very slow in Lab 2.,CSE
Roof seepage issue in Room 204.,Maintenance
Power outage in classroom in Block B.,Electrical
Classroom is very dirty in Block B.,Cleaning
System is running very slow in Room 204.,CSE
Website login problem in Lab 2.,Others
Wall has cracks in First Floor.,Maintenance
Water leaking from ceiling in Admin Block.,Maintenance
Dustbins are overflowing in Lab 1.,Cleaning
Lab equipment is faulty in Second Floor.,ECE
Classroom is very dirty in Admin Block.,Cleaning
Library computer not working in Room 204.,Library
Floor needs mopping in Lab 2.,Cleaning
Drinking water cooler not working in Room 204.,Hostel
Drinking water cooler not working in Lab 1.,Hostel
Fan is not working in Block B.,Electrical
Bus pass issue in First Floor.,Others
Scholarship not received in First Floor.,Others
Garbage not collected in Admin Block.,Cleaning
Power outage in classroom in Second Floor.,Electrical
Power outage in classroom in Lab 2.,Electrical
Library internet not working in Admin Block.,Library
Power socket not working in Room 204.,Electrical
Bad smell in corridor in First Floor.,Cleaning
Water leaking from ceiling in Block A.,Maintenance
Microcontroller kit not working in First Floor.,ECE
Keyboard not working in Admin Block.,CSE
Monitor display is blank in Block A.,CSE
Roof seepage issue in Block A.,Maintenance
Drinking water cooler not working in Admin Block.,Hostel
Power socket not working in Admin Block.,Electrical
Insufficient seating in library in Lab 2.,Library
Water leaking from ceiling in Admin Block.,Maintenance
Monitor display is blank in Room 101.,CSE
Fan not working in hostel room in Block A.,Hostel
Room lock is broken in Room 101.,Hostel
Microcontroller kit not working in Room 204.,ECE
Wall has cracks in Second Floor.,Maintenance
Drinking water cooler not working in Admin Block.,Hostel
Power socket not working in Block A.,Electrical
Bad smell in corridor in First Floor.,Cleaning
Reading room is noisy in Second Floor.,Library
Software installation required in Lab 1.,CSE
Scholarship not received in Room 101.,Others
ID card not issued in Second Floor.,Others
Library internet not working in Room 204.,Library
Fee payment portal not working in Lab 1.,Others
Fan not working in hostel room in Second Floor.,Hostel
Plumbing problem in Room 101.,Maintenance
Printer not working in Admin Block.,CSE
Library AC not working in Block A.,Library
Staircase is dusty in Room 101.,Cleaning
Tube light not working in Lab 2.,Electrical
Broken classroom bench in Block A.,Maintenance
Room lock is broken in Room 204.,Hostel
Loose electrical wiring in Lab 1.,Electrical
ID card not issued in Second Floor.,Others
Power socket not working in Admin Block.,Electrical
Insufficient seating in library in Admin Block.,Library
Fee payment portal not working in Room 204.,Others
Printer not working in Second Floor.,CSE
Mouse is not responding in Room 204.,CSE
Microcontroller kit not working in Block A.,ECE
Website login problem in Room 204.,Others
Wall has cracks in Block A.,Maintenance
Function generator faulty in Block B.,ECE
Hostel WiFi not working in Lab 1.,Hostel
Signal generator issue in Admin Block.,ECE
Printer not working in Block A.,CSE
Staircase is dusty in Room 204.,Cleaning
Fan not working in hostel room in Admin Block.,Hostel
ID card not issued in Second Floor.,Others
Bad smell in corridor in First Floor.,Cleaning
Power socket not working in Second Floor.,Electrical
